,Dissolved Oxygen
2018-12-18,-0.041607980500433864
2018-12-23,-0.07148811147370421
2018-12-28,-0.1976214490928785
2019-01-02,-0.13980569012614055
2019-01-07,-0.08293580848592814
2019-01-12,-0.027857780301071375
2019-01-17,-0.03611590490280825
2019-01-22,-0.10858031309731402
2019-01-27,-0.18413686332017937
2019-02-01,-0.16856386190438968
2019-02-06,-0.19507483749204865
2019-02-11,-0.06098541251037383
2019-02-16,-0.30630548838233584
2019-02-21,-0.40534380444816565
2019-02-26,-0.5057364993059529
2019-03-08,-0.33736058731824126
2019-03-13,-0.28058125380550974
2019-03-18,-0.889767551762407
2019-03-23,-0.8827934813877427
2019-03-28,-0.2228142410726222
2019-04-02,-0.19379618369644877
2019-04-07,-0.21128980056629282
2019-04-12,-0.1447993757382005
2019-04-17,-0.18862492867764133
2019-04-22,-0.07325225100088903
2019-04-27,-0.3227912009009775
2019-05-02,-0.2086622781469491
2019-05-07,-0.12681513509686723
2019-05-12,-0.11461749169304233
2019-05-17,-0.09313455297585324
2019-05-22,-0.16424700360459213
2019-05-27,-0.22859241577065106
2019-06-01,-0.18003687073232458
2019-06-06,-0.11700005948600788
2019-06-11,-0.10858439401068141
2019-10-04,-0.10372682810018646
2019-10-09,-0.05845958241910448
2019-10-14,-0.16418171708152796
2019-11-23,-0.22369109394008538
2019-11-28,-0.11525309692283484
2019-12-03,-0.09524650254139216
2019-12-08,-0.06514555561450072
2019-12-13,-0.08495440627290013
2019-12-18,-0.13924716849218857
2019-12-23,-0.1242912553959996
2019-12-28,-0.1077379490125609
2020-01-12,-0.20592122467712995
2020-01-17,-0.10524061738407274
2020-02-01,-0.08976166208968551
2020-02-06,-0.2022905005328994
2020-02-11,-0.27736700209088877
2020-02-16,-0.3492307287382115
2020-02-21,-0.5521829344404561
2020-02-26,-0.35472116108713425
2020-03-02,-0.4989279561896924
2020-03-07,-0.4308783409974499
2020-03-12,-0.6283750342749891
2020-03-17,-0.7933498267647755
2020-03-22,-0.8119967055588901
2020-04-01,-0.6661166840557506
2020-04-06,-0.3375311592731929
2020-04-11,-0.24094049196951528
2020-04-16,-0.21110122931218672
2020-04-21,-0.33761280789326775
2020-04-26,-0.28623178814992783
2020-05-01,-0.2430908430265628
2020-05-06,-0.23498472136006884
2020-05-11,-0.26287000410058364
2020-05-16,-0.21864182830332518
2020-05-21,-0.18772277492381076
2020-05-26,-0.22486364491137062
2020-05-31,-0.21748008101121166
2020-06-05,-0.2074027401870179
2020-06-10,-0.187116313036342
2020-06-30,-0.24000139241305835
2020-09-28,-0.1715232898397194
2020-10-18,-0.19777978769642765
2020-10-23,-0.19400338462005678
2020-10-28,-0.13387061335209677
2020-11-02,-0.09845593366025822
2020-11-07,-0.11924980109036473
2020-11-12,-0.08682674773371214
2020-11-17,-0.09463489731824563
2020-11-22,-0.11629194553346857
2020-11-27,-0.086734229914628
2020-12-02,-0.06792784576117863
2020-12-07,-0.16898418707697654
2020-12-17,-0.21404530766932364
2020-12-22,-0.08847957637770387
2020-12-27,-0.12173502059675653
2021-01-01,-0.07725080535964829
2021-01-06,-0.04371246353157793
2021-01-16,-0.09902805899069961
2021-01-21,-0.09395951143071164
2021-01-26,-0.10254299074358372
2021-01-31,-0.1894157915032151
2021-02-05,-0.0902581734088428
2021-02-10,-0.0713085581296147
2021-02-15,-0.2800965671778985
2021-02-20,-0.259753267036272
2021-02-25,-0.2473296954219675
2021-03-02,-0.27427339587507255
