,Turbidity
2018-12-18,-0.007191456022243413
2018-12-23,-0.11124543176851201
2018-12-28,-0.18731468938144277
2019-01-02,-0.1505919429071008
2019-01-07,-0.1538346489380749
2019-01-12,-0.07190140493389252
2019-01-17,-0.06738233657718971
2019-01-22,-0.17292517955254744
2019-01-27,-0.12991666723130088
2019-02-01,-0.17717243777413805
2019-02-06,-0.1618519029169657
2019-02-11,-0.07285463729560888
2019-02-16,-0.2529197649061241
2019-02-21,-0.31544123856051093
2019-02-26,-0.36776577394423143
2019-03-08,-0.19257228907790677
2019-03-13,-0.17322212216220337
2019-03-18,-0.16600195722378489
2019-03-23,-0.13807098569913437
2019-03-28,-0.09995423956493851
2019-04-02,-0.11329820940672768
2019-04-07,-0.11993100856088561
2019-04-12,-0.06233173138882646
2019-04-17,-0.10915500016215267
2019-04-22,-0.02573285318470268
2019-04-27,-0.20624192981307884
2019-05-02,-0.16960799649031796
2019-05-07,-0.06895046636551325
2019-05-12,-0.06653697125125639
2019-05-17,-0.032993377501085275
2019-05-22,-0.10917889757109009
2019-05-27,-0.2106882233657597
2019-06-01,-0.14083101394349673
2019-06-06,-0.06808467256511208
2019-06-11,-0.04198384632128673
2019-10-04,-0.026923042544816454
2019-10-09,-0.058310848788545006
2019-10-14,-0.17231828232158147
2019-11-23,-0.1627688782314513
2019-11-28,-0.1429440185424416
2019-12-03,-0.1259449675174893
2019-12-08,-0.08666249092541994
2019-12-13,-0.13119896517573504
2019-12-18,-0.13125717852089536
2019-12-23,-0.144853691349165
2019-12-28,-0.09339508708615696
2020-01-12,-0.17708099441293326
2020-01-17,-0.19255376345761968
2020-02-01,-0.184775122423454
2020-02-06,-0.18861060728912002
2020-02-11,-0.20538398106757383
2020-02-16,-0.2509929228879182
2020-02-21,-0.4025331015765061
2020-02-26,-0.2170742582769531
2020-03-02,-0.3413473869744343
2020-03-07,-0.29366457586782097
2020-03-12,-0.48662533262555274
2020-03-17,-0.6957452471986442
2020-03-22,-0.7028745423441269
2020-04-01,-0.5184112609555869
2020-04-06,-0.21906687324593754
2020-04-11,-0.20654830496041313
2020-04-16,-0.150535132850493
2020-04-21,-0.2634252031938565
2020-04-26,-0.1873900457590909
2020-05-01,-0.17103255501600537
2020-05-06,-0.15987037787149808
2020-05-11,-0.19895450654118074
2020-05-16,-0.119160288498534
2020-05-21,-0.1348528898127637
2020-05-26,-0.132538225489003
2020-05-31,-0.13476978083463872
2020-06-05,-0.11928507022377885
2020-06-10,-0.14286380143900437
2020-06-30,-0.14421815181926878
2020-09-28,-0.09215444645001677
2020-10-18,-0.13125505555812347
2020-10-23,-0.17463757965583562
2020-10-28,-0.1348887083676895
2020-11-02,-0.09432896161838408
2020-11-07,-0.109022996882846
2020-11-12,-0.09718132142342696
2020-11-17,-0.11877017129180685
2020-11-22,-0.1207382823505851
2020-11-27,-0.11361388290050904
2020-12-02,-0.10543348180554275
2020-12-07,-0.13673237430365354
2020-12-17,-0.12851490722991968
2020-12-22,-0.09487742086791205
2020-12-27,-0.1683572618359954
2021-01-01,-0.12318764466094764
2021-01-06,-0.09826011721141975
2021-01-16,-0.07647240305871511
2021-01-21,-0.09336484354662469
2021-01-26,-0.0913701995690262
2021-01-31,-0.09417059480844191
2021-02-05,-0.2540971987289046
2021-02-10,-0.07044650691416128
2021-02-15,-0.33130846303131006
2021-02-20,-0.1774323973911037
2021-02-25,-0.25947422718901736
2021-03-02,-0.19561118091097965
2021-03-07,-0.3466904819026522
2021-03-17,-0.6279357262444929
2021-03-27,-0.0697153880706786
2021-04-01,-0.12745605020023854
2021-04-06,-0.11346669442221151
2021-04-11,-0.0927417940501419
2021-04-16,-0.06872887566495105
2021-04-26,-0.06493912807868517
2021-05-06,-0.10281397353714213
2021-05-11,-0.0840647590734951
2021-05-16,-0.0945333224915242
2021-05-21,-0.11237701578268153
2021-05-26,-0.06453026012684106
2021-07-05,-0.04561223315295167
2021-10-13,-0.06265907419929308
2021-10-23,-0.1199022774156756
2021-10-28,-0.044542228286422215
2021-11-02,-0.08226565841682039
2021-11-07,-0.11823147428550737
2021-11-12,-0.05316958374037545
2021-11-27,-0.11338249086218401
2021-12-07,-0.12634961291702743
2021-12-12,-0.07750377654354039
2021-12-22,-0.10541640404502642
2021-12-27,-0.10628708292421042
2022-01-21,-0.10697943804532646
2022-01-26,-0.13306452172686561
2022-01-31,-0.026409669379524256
2022-02-05,-0.01654835264501518
2022-02-10,-0.015342741037774606
2022-02-15,-0.021894081532714455
2022-02-20,-0.034362764822388474
2022-03-02,-0.01323890875374305
2022-03-12,-0.021578079163617155
2022-03-17,-0.027774038846667695
2022-03-22,-0.027228978562101512
2022-03-27,-0.03034749257795503
2022-04-01,-0.034557409390005456
2022-04-06,-0.03447016480559759
2022-04-16,-0.05981159935939143
2022-04-26,-0.021700190453062984
2022-05-01,-0.03581555578303622
2022-05-06,-0.022873522415762505
2022-05-11,-0.02412143040783977
2022-05-16,-0.03013615603984072
2022-05-21,-0.016287034664386444
2022-05-26,-0.019327621503183578
2022-05-31,-0.017015806770069454
2022-10-03,-0.007380935266230466
2022-10-13,-0.041226200980523306
2022-10-18,-0.020586231419842168
2022-10-23,-0.02337661654610017
2022-10-28,-0.02056675656679611
2022-11-02,-0.015303226748516212
2022-11-07,-0.02089244536142541
2022-11-12,-0.01995579211254467
2022-11-17,-0.05382420799876804
2022-11-22,-0.022873207367636515
2022-11-27,-0.017517858782540467
2022-12-02,-0.013329463058215018
2022-12-07,-0.01647544762752144
2022-12-17,-0.00620891135612652
2022-12-22,-0.010467805466562667
2022-12-27,-0.025637817704994674
