,pH
2018-12-18,7.567741388855434
2018-12-23,7.174907421777975
2018-12-28,7.414977035003262
2019-01-02,7.365687050304224
2019-01-07,7.5080848503620565
2019-01-12,7.267625696251476
2019-01-17,7.304544818850715
2019-01-22,7.261864376224744
2019-01-27,8.150327514509192
2019-02-01,6.951412034868735
2019-02-06,7.652504603152616
2019-02-11,7.312380093399811
2019-02-16,8.133508030125181
2019-02-21,6.969102631442706
2019-02-26,8.244012258965064
2019-03-08,8.051731751418151
2019-03-13,8.20326231548868
2019-03-18,7.690634694579637
2019-03-23,7.669272823856268
2019-03-28,7.994562408633733
2019-04-02,7.737755742724656
2019-04-07,7.739151144378586
2019-04-12,7.688542101049251
2019-04-17,7.74206296059841
2019-04-22,7.343519311172733
2019-04-27,7.793073267294415
2019-05-02,7.603420790931878
2019-05-07,7.7664569788787094
2019-05-12,7.658133642402732
2019-05-17,7.78774129344632
2019-05-22,7.690910277617105
2019-05-27,7.731288972433574
2019-06-01,7.614256379460588
2019-06-06,7.670236858626765
2019-06-11,7.672928310792129
2019-10-04,7.731837362748157
2019-10-09,6.6612569470551835
2019-10-14,7.426611305461411
2019-11-23,7.479014161544461
2019-11-28,6.902115134852447
2019-12-03,7.276073929402945
2019-12-08,7.280215592019649
2019-12-13,7.136091986157392
2019-12-18,7.266849998503657
2019-12-23,7.428188641622261
2019-12-28,7.423058175444781
2020-01-12,7.575697071322759
2020-01-17,7.396097527959715
2020-02-01,7.328140325264409
2020-02-06,7.401377725355193
2020-02-11,7.778190685647657
2020-02-16,7.593231588730479
2020-02-21,8.231656845173566
2020-02-26,7.7588541936570525
2020-03-02,8.213787914922229
2020-03-07,7.90167176812873
2020-03-12,8.292297114459448
2020-03-17,8.239041739924925
2020-03-22,8.224744665447876
2020-04-01,8.300851348915112
2020-04-06,7.924972374618326
2020-04-11,7.584548006755296
2020-04-16,7.622472431959331
2020-04-21,7.783498226773318
2020-04-26,7.671110117846138
2020-05-01,7.628245785228419
2020-05-06,7.6763853224066105
2020-05-11,7.755176761226988
2020-05-16,7.63057786120618
2020-05-21,7.680435117616825
2020-05-26,7.6702546356048975
2020-05-31,7.789264822856102
2020-06-05,7.712450040248234
2020-06-10,7.480754180546982
2020-06-30,7.6908915091072405
2020-09-28,7.75720460560076
2020-10-18,7.373350708496037
2020-10-23,6.842899453791768
2020-10-28,7.354888408087517
2020-11-02,7.316820327302193
2020-11-07,7.494988113924795
2020-11-12,7.18017218836223
2020-11-17,7.230126987210371
2020-11-22,6.910417302566881
2020-11-27,7.254435291703702
2020-12-02,7.037741712558434
2020-12-07,7.3929534877915035
2020-12-17,7.259019053477489
2020-12-22,7.246847513865512
2020-12-27,7.470883068934134
2021-01-01,7.024491249120569
2021-01-06,7.230560375709897
2021-01-16,7.298750409559773
2021-01-21,7.281224906601635
2021-01-26,7.432548307905469
2021-01-31,7.965791103142724
2021-02-05,7.761436104165494
2021-02-10,7.322368379093674
2021-02-15,7.6677819069707605
2021-02-20,7.639006672116987
2021-02-25,7.656135157653276
2021-03-02,7.204040281078148
2021-03-07,8.20924692605523
2021-03-17,7.7171741320287
2021-03-27,7.434155432986467
2021-04-01,7.750602868062973
2021-04-06,7.85677634474608
2021-04-11,7.5383906745233356
2021-04-16,7.487532228567757
2021-04-26,7.464124136481901
2021-05-06,7.447857881717361
2021-05-11,7.486073217586383
2021-05-16,7.656195641613112
2021-05-21,7.242976572849546
2021-05-26,7.64726455228991
2021-07-05,7.682172145873119
2021-10-13,7.532180612795131
2021-10-23,7.336440968138582
2021-10-28,6.971339462775885
2021-11-02,7.582415763354788
2021-11-07,7.212124287070266
2021-11-12,7.5543305698812535
2021-11-27,7.1398531959666585
2021-12-07,7.343641637618144
2021-12-12,7.316625900317229
2021-12-22,7.216744544923562
2021-12-27,7.2795778045398505
2022-01-21,7.4971796524107965
2022-01-26,7.312383608171677
2022-01-31,7.521019956337501
2022-02-05,7.531275550488543
2022-02-10,7.637239239974022
2022-02-15,7.581183647661573
2022-02-20,7.32610073162868
2022-03-02,7.601834531032825
2022-03-12,7.6903800107682665
2022-03-17,7.705858509711293
2022-03-22,7.790357968828839
2022-03-27,7.588511813996551
2022-04-01,7.646656433508626
2022-04-06,7.698536369110952
2022-04-16,7.619702404245647
2022-04-26,7.661129944171803
2022-05-01,7.592179330360118
2022-05-06,7.6322139056535745
2022-05-11,7.785398502267412
2022-05-16,7.799968531520281
2022-05-21,7.704006161678087
2022-05-26,7.713755774847424
2022-05-31,7.753085597340859
2022-10-03,7.770366152842007
2022-10-13,7.5495024432414475
2022-10-18,7.580862494409902
2022-10-23,7.487775529796719
2022-10-28,7.554934950630778
2022-11-02,7.545328194862627
2022-11-07,7.543832465140032
2022-11-12,7.498201997767411
2022-11-17,7.241682093555832
2022-11-22,7.513711458176845
2022-11-27,7.528593356599514
2022-12-02,7.50643420141612
2022-12-07,7.559179828289594
2022-12-17,7.614748391016335
2022-12-22,7.544611756611881
2022-12-27,7.50170258612335
